Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Sat Apr  8 20:09:28 2023
Invocation: foremost -t all -v -q -i /dev/sda1 -o /home/noob/Desktop/Recoverfiles2 
Output directory: /home/noob/Desktop/Recoverfiles2
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: /dev/sda1
Start: Sat Apr  8 20:09:28 2023
Length: 59 GB (63399002112 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00311480.pdf 	      63 KB 	  159477760 	 
1:	00311984.pdf 	      57 KB 	  159735808 	 
2:	00313120.pdf 	      49 KB 	  160317440 	 
3:	00313528.pdf 	      35 KB 	  160526336 	 
4:	00313896.pdf 	      17 KB 	  160714752 	 
5:	00313952.pdf 	      17 KB 	  160743424 	 
6:	00314008.pdf 	      21 KB 	  160772096 	 
7:	00314576.pdf 	      30 KB 	  161062912 	 
8:	00314648.pdf 	      21 KB 	  161099776 	 
9:	00314704.pdf 	      61 KB 	  161128448 	 
10:	00314840.pdf 	      37 KB 	  161198080 	 
11:	00314936.pdf 	      23 KB 	  161247232 	 
12:	00314992.pdf 	      12 KB 	  161275904 	 
13:	00315048.pdf 	      24 KB 	  161304576 	 
14:	00315112.pdf 	      16 KB 	  161337344 	 
15:	00315168.pdf 	      13 KB 	  161366016 	 
16:	00315296.pdf 	      41 KB 	  161431552 	 
17:	00513011.htm 	       1 KB 	  262661632 	 
18:	00513025.htm 	      434 B 	  262668800 	 
19:	00515034.htm 	      446 B 	  263697408 	 
20:	00490608.zip 	      39 KB 	  251191296 	 
21:	00496408.zip 	       9 KB 	  254160896 	 
22:	00583120.zip 	      14 KB 	  298557440 	 
23:	00471040.dll 	       5 KB 	  241172480 	 09/13/2017 23:20:33
24:	00471088.dll 	       5 KB 	  241197056 	 09/13/2017 23:20:33
25:	00471136.dll 	       5 KB 	  241221632 	 09/13/2017 23:20:32
26:	00471184.dll 	       6 KB 	  241246208 	 09/13/2017 23:20:33
27:	00471232.dll 	       5 KB 	  241270784 	 09/13/2017 23:20:33
28:	00471280.dll 	       5 KB 	  241295360 	 09/13/2017 23:20:33
29:	00471328.dll 	       5 KB 	  241319936 	 09/13/2017 23:20:33
30:	00471376.dll 	       5 KB 	  241344512 	 09/13/2017 23:20:33
31:	00471424.dll 	       6 KB 	  241369088 	 09/13/2017 23:20:33
32:	00471472.dll 	       5 KB 	  241393664 	 09/13/2017 23:20:33
33:	00471520.dll 	       6 KB 	  241418240 	 09/13/2017 23:20:33
34:	00471568.dll 	       5 KB 	  241442816 	 09/13/2017 23:20:33
35:	00471616.dll 	       5 KB 	  241467392 	 09/13/2017 23:20:33
36:	00471664.dll 	      14 KB 	  241491968 	 12/11/2017 17:52:54
37:	00471728.dll 	       5 KB 	  241524736 	 09/13/2017 23:20:33
38:	00471776.dll 	       5 KB 	  241549312 	 09/13/2017 23:20:33
39:	00471824.dll 	       5 KB 	  241573888 	 09/13/2017 23:20:33
40:	00471872.dll 	       5 KB 	  241598464 	 09/13/2017 23:20:33
41:	00471920.dll 	       5 KB 	  241623040 	 09/13/2017 23:20:33
42:	00471968.dll 	       5 KB 	  241647616 	 09/13/2017 23:20:33
43:	00472016.dll 	       6 KB 	  241672192 	 09/13/2017 23:20:33
44:	00472064.dll 	       5 KB 	  241696768 	 09/13/2017 23:20:33
45:	00472112.dll 	       5 KB 	  241721344 	 09/13/2017 23:20:33
46:	00472160.dll 	       5 KB 	  241745920 	 09/13/2017 23:20:33
47:	00472208.dll 	       5 KB 	  241770496 	 09/13/2017 23:20:33
48:	00472256.dll 	       5 KB 	  241795072 	 09/13/2017 23:20:33
49:	00472304.dll 	       5 KB 	  241819648 	 09/13/2017 23:20:33
50:	00472352.dll 	      12 KB 	  241844224 	 12/11/2017 17:52:56
51:	00472408.dll 	       8 KB 	  241872896 	 09/13/2017 23:20:34
52:	00472456.dll 	       5 KB 	  241897472 	 09/13/2017 23:20:34
53:	00472504.dll 	       5 KB 	  241922048 	 09/13/2017 23:20:34
54:	00472552.dll 	       5 KB 	  241946624 	 09/13/2017 23:20:34
55:	00472600.dll 	      10 KB 	  241971200 	 12/11/2017 17:53:00
56:	00472656.dll 	       8 KB 	  241999872 	 12/11/2017 17:53:05
57:	00472712.dll 	      13 KB 	  242028544 	 09/13/2017 23:20:33
58:	00472776.dll 	       5 KB 	  242061312 	 09/13/2017 23:20:34
59:	00472824.dll 	      30 KB 	  242085888 	 12/11/2017 17:53:00
60:	00472920.dll 	       5 KB 	  242135040 	 09/13/2017 23:20:34
61:	00472968.dll 	       5 KB 	  242159616 	 09/13/2017 23:20:34
62:	00473016.dll 	       5 KB 	  242184192 	 09/13/2017 23:20:34
63:	00473064.dll 	       6 KB 	  242208768 	 09/13/2017 23:20:34
64:	00473112.dll 	       5 KB 	  242233344 	 09/13/2017 23:20:34
65:	00473160.dll 	       6 KB 	  242257920 	 12/11/2017 17:53:18
66:	00473208.dll 	       5 KB 	  242282496 	 09/13/2017 23:20:34
67:	00473256.dll 	       5 KB 	  242307072 	 09/13/2017 23:20:34
68:	00473304.dll 	       5 KB 	  242331648 	 09/13/2017 23:20:34
69:	00473352.dll 	      21 KB 	  242356224 	 12/11/2017 17:53:04
70:	00473432.dll 	       5 KB 	  242397184 	 09/13/2017 23:20:34
71:	00473480.dll 	       6 KB 	  242421760 	 09/13/2017 23:20:34
72:	00473528.dll 	       5 KB 	  242446336 	 09/13/2017 23:20:34
73:	00473576.dll 	       5 KB 	  242470912 	 09/13/2017 23:20:34
74:	00473624.dll 	       5 KB 	  242495488 	 09/13/2017 23:20:34
75:	00473672.dll 	       6 KB 	  242520064 	 09/13/2017 23:20:34
76:	00473720.dll 	       5 KB 	  242544640 	 09/13/2017 23:20:34
77:	00473768.dll 	       5 KB 	  242569216 	 09/13/2017 23:20:34
78:	00473816.dll 	       6 KB 	  242593792 	 12/11/2017 17:53:21
79:	00473864.dll 	       5 KB 	  242618368 	 09/13/2017 23:20:34
80:	00473912.dll 	       5 KB 	  242642944 	 09/13/2017 23:20:35
81:	00473960.dll 	       5 KB 	  242667520 	 09/13/2017 23:20:35
82:	00474008.dll 	       9 KB 	  242692096 	 12/11/2017 17:53:23
83:	00474064.dll 	      12 KB 	  242720768 	 12/11/2017 17:57:21
84:	00474120.dll 	      12 KB 	  242749440 	 12/11/2017 17:57:25
85:	00474176.dll 	      30 KB 	  242778112 	 12/11/2017 17:57:25
86:	00474272.dll 	       8 KB 	  242827264 	 12/11/2017 17:57:54
87:	00474320.dll 	       7 KB 	  242851840 	 12/11/2017 17:53:26
88:	00474368.dll 	      15 KB 	  242876416 	 12/11/2017 17:56:52
89:	00474432.dll 	       8 KB 	  242909184 	 12/11/2017 17:56:52
90:	00474480.dll 	       7 KB 	  242933760 	 12/11/2017 17:56:49
91:	00474528.dll 	      10 KB 	  242958336 	 12/11/2017 17:56:51
92:	00474584.dll 	      28 KB 	  242987008 	 12/11/2017 17:56:52
93:	00474672.dll 	       6 KB 	  243032064 	 12/11/2017 17:53:26
94:	00474720.dll 	       9 KB 	  243056640 	 12/11/2017 17:56:51
95:	00474776.dll 	       6 KB 	  243085312 	 12/11/2017 17:53:27
96:	00474824.dll 	       6 KB 	  243109888 	 12/11/2017 17:53:26
97:	00474872.dll 	      42 KB 	  243134464 	 08/08/2048 19:19:50
98:	00474960.dll 	      44 KB 	  243179520 	 12/03/2068 05:44:22
99:	00475048.dll 	      43 KB 	  243224576 	 03/05/2074 15:29:45
100:	00548864.dll 	      44 KB 	  281018368 	 03/01/2097 09:21:04
101:	00548952.dll 	      43 KB 	  281063424 	 05/27/2056 06:08:08
102:	00549040.dll 	      49 KB 	  281108480 	 06/21/2098 14:33:05
103:	00549144.dll 	      45 KB 	  281161728 	 04/29/2098 22:45:07
104:	00549240.dll 	      45 KB 	  281210880 	 05/13/2051 21:49:43
105:	00549336.dll 	      42 KB 	  281260032 	 10/01/2090 18:05:28
106:	00549424.dll 	      55 KB 	  281305088 	 11/14/2073 12:40:05
107:	00549536.dll 	      42 KB 	  281362432 	 05/11/2066 21:11:05
108:	00549624.dll 	      38 KB 	  281407488 	 02/21/2085 03:14:04
109:	00549704.dll 	      38 KB 	  281448448 	 10/12/2092 01:24:59
110:	00551552.dll 	       4 KB 	  282394624 	 11/25/2021 12:22:21
111:	00551624.dll 	       2 KB 	  282431488 	 11/25/2021 12:22:21
112:	00551872.dll 	      27 KB 	  282558464 	 11/25/2021 12:22:39
113:	00552504.dll 	      34 KB 	  282882048 	 06/19/2092 02:14:07
114:	00552648.dll 	      35 KB 	  282955776 	 02/19/2082 05:19:45
115:	00552744.dll 	      35 KB 	  283004928 	 05/17/2045 22:43:55
116:	00552840.dll 	      36 KB 	  283054080 	 09/19/2088 18:04:29
117:	00569344.dll 	      36 KB 	  291504128 	 01/05/2076 07:23:24
118:	00569440.dll 	      39 KB 	  291553280 	 05/05/2091 09:42:53
119:	00569544.dll 	      36 KB 	  291606528 	 11/23/2084 16:30:05
120:	00569640.dll 	      36 KB 	  291655680 	 03/11/2076 07:16:58
121:	00569736.dll 	      35 KB 	  291704832 	 03/01/2040 05:09:22
122:	00569832.dll 	      45 KB 	  291753984 	 09/09/2053 00:58:34
123:	00569944.dll 	      34 KB 	  291811328 	 05/29/2050 18:06:50
124:	00570088.dll 	      31 KB 	  291885056 	 02/11/2065 11:28:48
125:	00570176.dll 	      31 KB 	  291930112 	 03/07/2088 15:11:20
126:	00570264.dll 	       9 KB 	  291975168 	 07/31/2043 13:36:14
127:	00570304.dll 	      10 KB 	  291995648 	 09/19/2086 06:28:25
128:	00570352.dll 	      10 KB 	  292020224 	 09/30/2099 22:19:45
129:	00570400.dll 	      10 KB 	  292044800 	 10/16/2061 01:55:18
130:	00570448.dll 	      10 KB 	  292069376 	 08/21/2055 04:56:28
131:	00570496.dll 	      10 KB 	  292093952 	 08/23/2073 13:08:46
132:	00570544.dll 	      10 KB 	  292118528 	 11/20/2082 23:20:47
133:	00570592.dll 	      10 KB 	  292143104 	 03/30/2101 06:35:58
134:	00570640.dll 	      10 KB 	  292167680 	 10/16/2066 12:57:16
135:	00570688.dll 	      11 KB 	  292192256 	 01/13/2049 02:11:51
136:	00570736.dll 	      10 KB 	  292216832 	 01/07/2086 17:24:09
137:	00570784.dll 	       9 KB 	  292241408 	 02/03/2074 20:27:41
138:	00570824.dll 	       9 KB 	  292261888 	 08/20/2067 00:04:24
139:	00571080.dll 	      28 KB 	  292392960 	 01/03/2046 18:47:56
140:	00571160.dll 	      11 KB 	  292433920 	 02/19/2020 17:04:57
141:	00571208.dll 	       7 KB 	  292458496 	 10/19/2020 18:46:30
142:	00571296.dll 	      28 KB 	  292503552 	 10/18/2090 09:22:31
143:	00571440.dll 	      18 KB 	  292577280 	 06/11/2045 12:56:47
